      c (theor.)  lambda (theor.)
        412.0000         261.0000
        219.0000         203.0000
        195.0000         192.0000
        190.0000         189.0000
        189.0000         189.0000
        189.0000         190.0000
        190.0000         191.0000
        192.0000         193.0000
        193.0000         194.0000
        194.0000         194.0000
        193.0000         193.0000
        193.0000         194.0000
        194.0000         194.0000
        194.0000         194.0000
        195.0000         195.0000
        195.0000         194.0000
        194.0000         193.0000
        192.0000         191.0000
        190.0000         190.0000
        189.0000         190.0000
         92.5867          45.5111
         32.6095          26.4000
         22.6370          20.1600
         18.2303          16.7111
         15.4256          14.2476
         13.2267          12.2000
         11.1686          10.2519
          9.4316           8.7467
          8.3302           8.1455
          8.1159           8.1778
          8.2347           8.2872
          8.2963           8.1905
          8.0184           7.7867
          7.5011           7.1667
          6.8202           6.4000
          5.9733           5.5407
          5.1315           4.8281
          4.5675           4.3733
          4.2407           4.1651
          4.1426           4.2424
